DEPCOM;NOM_COM;NB_IRIS
78005;Achères;9
78015;Andrésy;6
78029;Aubergenville;6
78062;Beynes;3
78073;Bois-d'Arcy;6
78092;Bougival;4
78117;Buc;2
78123;Carrières-sous-Poissy;6
78124;Carrières-sur-Seine;5
78126;La Celle-Saint-Cloud;11
78133;Chambourcy;2
78138;Chanteloup-les-Vignes;5
78146;Chatou;13
78158;Le Chesnay;13
78160;Chevreuse;2
78165;Les Clayes-sous-Bois;6
78172;Conflans-Sainte-Honorine;15
78190;Croissy-sur-Seine;4
78208;Élancourt;8
78217;Épône;3
78220;Les Essarts-le-Roi;2
78242;Fontenay-le-Fleury;6
78267;Gargenville;3
78297;Guyancourt;9
78311;Houilles;14
78322;Jouy-en-Josas;4
78335;Limay;6
78350;Louveciennes;3
78354;Magnanville;3
78356;Magny-les-Hameaux;4
78358;Maisons-Laffitte;10
78361;Mantes-la-Jolie;20
78362;Mantes-la-Ville;8
78372;Marly-le-Roi;8
78380;Maule;2
78383;Maurepas;9
78396;Le Mesnil-le-Roi;3
78397;Le Mesnil-Saint-Denis;3
78401;Meulan-en-Yvelines;4
78418;Montesson;6
78423;Montigny-le-Bretonneux;16
78440;Les Mureaux;12
78455;Noisy-le-Roi;3
78481;Le Pecq;8
78486;Le Perray-en-Yvelines;2
78490;Plaisir;12
78498;Poissy;17
78517;Rambouillet;10
78537;Saint-Arnoult-en-Yvelines;2
78545;Saint-Cyr-l'École;7
78551;Saint-Germain-en-Laye;19
78571;Saint-Nom-la-Bretèche;2
78575;Saint-Rémy-lès-Chevreuse;3
78586;Sartrouville;22
78621;Trappes;12
78624;Triel-sur-Seine;3
78640;Vélizy-Villacoublay;11
78642;Verneuil-sur-Seine;5
78643;Vernouillet;4
78644;La Verrière;3
78646;Versailles;36
78650;Le Vésinet;5
78674;Villepreux;4
78686;Viroflay;8
78688;Voisins-le-Bretonneux;5
